keywords;acces;trash;kw_acces;kw_acces_tl;kw_acces_lots;kw_trash;kw_trash_tl;kw_trash_lots
власт;1;0;"открыт - 1; предложен - 1; организац - 1; тимбилдинг - 1; блок - 1";власт+(открыт/предложен/организац/тимбилдинг/блок);1;;власт+);0
распознавани;1;1;"торг - 1; текст - 1";распознавани+(торг/текст);1;"поставк - 1; сист - 1; автономер - 1; autotrassir - 1; 30/2 - 1";распознавани+(поставк/сист/автономер/autotrassir/30/2);1
текст;1;1;"торг - 1; распознавани - 1";текст+(торг/распознавани);1;"открыт - 2; подготовк - 2; услуг - 2; отч - 2; год - 2";текст+(открыт/подготовк/услуг/отч/год);3
соцсетях;1;1;"торг - 1; доставк - 1; электронн - 1; почт - 1";соцсетях+(торг/доставк/электронн/почт);1;"торг - 1; доставк - 1; электронн - 1; почт - 1; продлен - 1";соцсетях+(торг/доставк/электронн/почт/продлен);1
мероприяти;1;0;"166268,1 - 2; создани - 1; поправк - 1; открыт - 1; предложен - 1";мероприяти+(166268,1/создани/поправк/открыт/предложен);1;"предложен - 4; открыт - 4; мероприят - 3; техническ - 3; работ - 3";мероприяти+(предложен/открыт/мероприят/техническ/работ);4
агентств;1;7;"166268,1 - 2; создани - 1; поправк - 1; открыт - 1; предложен - 1";агентств+(166268,1/создани/поправк/открыт/предложен);1;"открыт - 8; предложен - 8; выбор - 7; услуг - 6; торг - 5";агентств+(открыт/предложен/выбор/услуг/торг);7
целик;1;0;"закупк - 2; предложен - 1; производитс - 1; лоту - 1; оборудовани - 1";целик+(закупк/предложен/производитс/лоту/оборудовани);1;;целик+);0
2022-2024г;1;2;"165733-2 - 2; открыт - 1; предложен - 1; прав - 1; заключени - 1";2022-2024г+(165733-2/открыт/предложен/прав/заключени);1;"открыт - 11; предложен - 11; оборудован - 9; прав - 8; заключен - 8";2022-2024г+(открыт/предложен/оборудован/прав/заключен);12
карман;1;0;"сумк - 1; инструмент - 1; matrix - 1";карман+(сумк/инструмент/matrix);1;;карман+);0
matrix;1;0;"сумк - 1; инструмент - 1; карман - 1";matrix+(сумк/инструмент/карман);1;;matrix+);0
мультимедийн;1;1;"открыт - 1; поставк - 1; монтаж - 1; оборудовани - 1; декарт""в - 1";"мультимедийн+(открыт/поставк/монтаж/оборудовани/декарт""в)";1;"предложен - 1; выбор - 1; поставщик - 1; оказан - 1; услуг/выполнен - 1";мультимедийн+(предложен/выбор/поставщик/оказан/услуг/выполнен);1
"декарт""в";1;0;"открыт - 1; поставк - 1; монтаж - 1; мультимедийн - 1; оборудовани - 1";"декарт""в+(открыт/поставк/монтаж/мультимедийн/оборудовани)";1;;"декарт""в+)";0
клиент;1;10;"165733-2 - 2; открыт - 1; предложен - 1; прав - 1; заключени - 1";клиент+(165733-2/открыт/предложен/прав/заключени);1;"предложен - 13; открыт - 12; услуг - 12; сист - 9; предоставлен - 9";клиент+(предложен/открыт/услуг/сист/предоставлен);15
забайкальск;1;0;"165733-2 - 2; открыт - 1; предложен - 1; прав - 1; заключени - 1";забайкальск+(165733-2/открыт/предложен/прав/заключени);1;;забайкальск+);0
края;1;1;"165733-2 - 2; открыт - 1; предложен - 1; прав - 1; заключени - 1";края+(165733-2/открыт/предложен/прав/заключени);1;"открыт - 1; сети - 1; краснодарск - 1; геленджик - 1; анап - 1";края+(открыт/сети/краснодарск/геленджик/анап);1
№165733-2;1;0;"165733-2 - 2; открыт - 1; предложен - 1; прав - 1; заключени - 1";№165733-2+(165733-2/открыт/предложен/прав/заключени);1;;№165733-2+);0
производитс;1;0;"закупк - 2; предложен - 1; лоту - 1; целик - 1; оборудовани - 1";производитс+(закупк/предложен/лоту/целик/оборудовани);1;;производитс+);0
100g;1;0;"открыт - 1; приобретен - 1; модул - 1; работ - 1; систем - 1";100g+(открыт/приобретен/модул/работ/систем);1;;100g+);0
кажд;1;0;"выбор - 1; поставщик - 1; лоту - 1; поставк - 1; оборудовани - 1";кажд+(выбор/поставщик/лоту/поставк/оборудовани);1;;кажд+);0
консультант;1;4;"открыт - 1; предложен - 1; продлен - 1; поддержк - 1; плюс - 1";консультант+(открыт/предложен/продлен/поддержк/плюс);1;"услуг - 5; сист - 4; информационн - 4; предложен - 2; осн - 1";консультант+(услуг/сист/информационн/предложен/осн);3
плюс;1;0;"открыт - 1; предложен - 1; продлен - 1; поддержк - 1; консультант - 1";плюс+(открыт/предложен/продлен/поддержк/консультант);1;"b2908221240163 - 1; оказан - 1; услуг - 1; адаптац - 1; сопровожден - 1";плюс+(b2908221240163/оказан/услуг/адаптац/сопровожден);1
2023-24;1;1;"регионах - 2; 2023-24г.г - 2; дальнег - 1; восток - 1; открыт - 1";2023-24+(регионах/2023-24г.г/дальнег/восток/открыт);3;"волс - 2; 2023-24г.г - 2; торг - 2; предложен - 2; 165989-2 - 2";2023-24+(волс/2023-24г.г/торг/предложен/165989-2);4
патриарш;1;0;"поставк - 1; скуд - 1; видеонаблюдени - 1; ж/д_ст - 1";патриарш+(поставк/скуд/видеонаблюдени/ж/д_ст);1;;патриарш+);0
ж/д_ст;1;0;"поставк - 1; скуд - 1; видеонаблюдени - 1; патриарш - 1";ж/д_ст+(поставк/скуд/видеонаблюдени/патриарш);1;;ж/д_ст+);0
дизельн;1;0;"предложен - 2; поставк - 2; установк - 1; городок - 1; лыткарин - 1";дизельн+(предложен/поставк/установк/городок/лыткарин);1;;дизельн+);0
срочн;1;0;"предложен - 2; поставк - 2; установк - 1; городок - 1; лыткарин - 1";срочн+(предложен/поставк/установк/городок/лыткарин);1;;срочн+);0
евро;1;0;"предложен - 2; поставк - 2; установк - 1; городок - 1; лыткарин - 1";евро+(предложен/поставк/установк/городок/лыткарин);1;;евро+);0
№164901;1;0;"fxs-порт - 2; квалификационн - 1; отбор - 1; поставк - 1; оборудовани - 1";№164901+(fxs-порт/квалификационн/отбор/поставк/оборудовани);1;;№164901+);0
№164780;1;0;"оптическ - 2; ресурс - 2; открыт - 1; предложен - 1; приобретен - 1";№164780+(оптическ/ресурс/открыт/предложен/приобретен);1;;№164780+);0
164635-2;1;0;"поставк - 1; кнопок - 1; выход - 1; ижевск - 1";164635-2+(поставк/кнопок/выход/ижевск);1;;164635-2+);0
кнопок;1;0;"164635-2 - 1; поставк - 1; выход - 1; ижевск - 1";кнопок+(164635-2/поставк/выход/ижевск);1;;кнопок+);0
плоттер;1;0;"поставк - 1; canon - 1; новосибирск - 1";плоттер+(поставк/canon/новосибирск);1;;плоттер+);0
регион;1;11;"регионах - 3; оповещени - 2; офис - 2; открыт - 2; 2023-24г.г - 2";регион+(регионах/оповещени/офис/открыт/2023-24г.г);5;"регионах - 14; предложен - 14; открыт - 12; прав - 11; заключен - 11";регион+(регионах/предложен/открыт/прав/заключен);23
янао;1;2;"торг - 1; объектах - 1; сети - 1; радиодоступ - 1; регион - 1";янао+(торг/объектах/сети/радиодоступ/регион);1;"торг - 2; волс - 2; 1000081.t - 1; выполнен - 1; текущег - 1";янао+(торг/волс/1000081.t/выполнен/текущег);2
контент;1;0;"164648,1 - 2; систем - 1; фильтраци - 1";контент+(164648,1/систем/фильтраци);1;;контент+);0
фильтраци;1;0;"164648,1 - 2; систем - 1; контент - 1";фильтраци+(164648,1/систем/контент);1;;фильтраци+);0
music;1;0;"открыт - 1; предложен - 1; поставк - 1; монтаж - 1; экран - 1";music+(открыт/предложен/поставк/монтаж/экран);1;;music+);0
media;1;0;"открыт - 1; предложен - 1; поставк - 1; монтаж - 1; экран - 1";media+(открыт/предложен/поставк/монтаж/экран);1;;media+);0
dome;1;0;"открыт - 1; предложен - 1; поставк - 1; монтаж - 1; экран - 1";dome+(открыт/предложен/поставк/монтаж/экран);1;;dome+);0
com22092200149;1;0;"реализаци - 1; электрорадиоиздел - 1";com22092200149+(реализаци/электрорадиоиздел);1;;com22092200149+);0
электрорадиоиздел;1;11;"com22092200149 - 1; реализаци - 1";электрорадиоиздел+(com22092200149/реализаци);1;"реализац - 11; com23092200049 - 1; com23092200045 - 1; com23092200043 - 1; com23092200058 - 1";электрорадиоиздел+(реализац/com23092200049/com23092200045/com23092200043/com23092200058);11
рефарминг;1;0;"сети - 1; воронежск - 1; област - 1; торг - 1";рефарминг+(сети/воронежск/област/торг);1;;рефарминг+);0
передач;1;5;"fxs-порт - 2; квалификационн - 1; отбор - 1; поставк - 1; оборудовани - 1";передач+(fxs-порт/квалификационн/отбор/поставк/оборудовани);1;"сист - 3; област - 2; тверск - 2; извещен - 2; приборах - 2";передач+(сист/област/тверск/извещен/приборах);3
gpon-розетк;1;0;"fxs-порт - 2; квалификационн - 1; отбор - 1; поставк - 1; оборудовани - 1";gpon-розетк+(fxs-порт/квалификационн/отбор/поставк/оборудовани);1;;gpon-розетк+);0
fttb-роутер;1;0;"fxs-порт - 2; квалификационн - 1; отбор - 1; поставк - 1; оборудовани - 1";fttb-роутер+(fxs-порт/квалификационн/отбор/поставк/оборудовани);1;;fttb-роутер+);0
чапаевск;1;0;"оптическ - 2; ресурс - 2; открыт - 1; предложен - 1; приобретен - 1";чапаевск+(оптическ/ресурс/открыт/предложен/приобретен);1;;чапаевск+);0
самарск;1;2;"оптическ - 2; ресурс - 2; открыт - 1; предложен - 1; приобретен - 1";самарск+(оптическ/ресурс/открыт/предложен/приобретен);1;"област - 8; республик - 6; территор - 2; оптическ - 2; торг - 2";самарск+(област/республик/территор/оптическ/торг);2
курск;1;3;"поставк - 1; беспроводн - 1; точек - 1; доступ - 1";курск+(поставк/беспроводн/точек/доступ);1;"поставк - 3; оборудован - 2; автоматизированн - 2; сист - 2; взвешиван - 2";курск+(поставк/оборудован/автоматизированн/сист/взвешиван);3
магадан;1;1;"поставк - 1; ноутбук - 1; планшет - 1";магадан+(поставк/ноутбук/планшет);1;"работ - 3; техническ - 3; ремонт - 2; магаданск - 2; выполнен - 2";магадан+(работ/техническ/ремонт/магаданск/выполнен);2
сигнал;1;0;"поставк - 4; сигнализаци - 2; канальн - 1; оповещател - 1; извещател - 1";сигнал+(поставк/сигнализаци/канальн/оповещател/извещател);4;"сист - 21; работ - 12; сигнализац - 12; контр - 9; оборудован - 9";сигнал+(сист/работ/сигнализац/контр/оборудован);14
канальн;1;0;"поставк - 1; измерител - 1; сигнал - 1; урлу-аспак - 1";канальн+(поставк/измерител/сигнал/урлу-аспак);1;;канальн+);0
дальнег;1;1;"регионах - 1; восток - 1; 2023-24г.г - 1";дальнег+(регионах/восток/2023-24г.г);1;"открыт - 1; предложен - 1; торг - 1; 2022-2024г.г - 1; восток - 1";дальнег+(открыт/предложен/торг/2022-2024г.г/восток);1
4g-роутер;1;0;"поставк - 1; блок - 1; питани - 1; роутер - 1";4g-роутер+(поставк/блок/питани/роутер);1;;4g-роутер+);0
оснащен;1;3;"скуд - 1; нижн - 1; новгород - 1; больш - 1; покровск - 1";оснащен+(скуд/нижн/новгород/больш/покровск);1;"парк - 2; зарядн - 2; реализац - 2; москв - 2; автобусн - 2";оснащен+(парк/зарядн/реализац/москв/автобусн);2
больш;1;0;"оснащен - 1; скуд - 1; нижн - 1; новгород - 1; покровск - 1";больш+(оснащен/скуд/нижн/новгород/покровск);1;;больш+);0
покровск;1;0;"оснащен - 1; скуд - 1; нижн - 1; новгород - 1; больш - 1";покровск+(оснащен/скуд/нижн/новгород/больш);1;;покровск+);0
реконструкци;1;6;"систем - 1; электроснабжени - 1; серверн - 1; установк - 1; силов - 1";реконструкци+(систем/электроснабжени/серверн/установк/силов);1;"выполнен - 5; работ - 5; сист - 4; предложен - 4; иркутск - 3";реконструкци+(выполнен/работ/сист/предложен/иркутск);5
коммуникатор;1;0;"поставк - 1; калуг - 1";коммуникатор+(поставк/калуг);1;;коммуникатор+);0
распределени;1;0;"реконструкци - 1; систем - 1; электроснабжени - 1; серверн - 1; установк - 1";распределени+(реконструкци/систем/электроснабжени/серверн/установк);1;;распределени+);0
махачк;1;2;"поставк - 1; операционн - 1; сист - 1";махачк+(поставк/операционн/сист);1;"поставк - 2; компьютерн - 1; оборудован - 1; коммутатор - 1; программн - 1";махачк+(поставк/компьютерн/оборудован/коммутатор/программн);2
многопользовательск;1;0;"вызывн - 1; панел - 1; замок - 1; кнопк - 1; выход - 1";многопользовательск+(вызывн/панел/замок/кнопк/выход);1;;многопользовательск+);0
замок;1;0;"многопользовательск - 1; вызывн - 1; панел - 1; кнопк - 1; выход - 1";замок+(многопользовательск/вызывн/панел/кнопк/выход);1;;замок+);0
кнопк;1;0;"многопользовательск - 1; вызывн - 1; панел - 1; замок - 1; выход - 1";кнопк+(многопользовательск/вызывн/панел/замок/выход);1;;кнопк+);0
d-link;1;0;"поставк - 1; коммутатор - 1; норильск - 1";d-link+(поставк/коммутатор/норильск);1;;d-link+);0
норильск;1;0;"поставк - 1; коммутатор - 1; d-link - 1";норильск+(поставк/коммутатор/d-link);1;;норильск+);0
2022-2023;1;1;"fxs-порт - 2; квалификационн - 1; отбор - 1; поставк - 1; оборудовани - 1";2022-2023+(fxs-порт/квалификационн/отбор/поставк/оборудовани);1;"работ - 6; открыт - 5; предложен - 5; выполнен - 4; заключен - 3";2022-2023+(работ/открыт/предложен/выполнен/заключен);5
петрозаводск;1;0;"поставк - 1; видеокамер - 1";петрозаводск+(поставк/видеокамер);1;;петрозаводск+);0
сезонн;1;0;"предложен - 2; поставк - 2; установк - 1; городок - 1; лыткарин - 1";сезонн+(предложен/поставк/установк/городок/лыткарин);1;;сезонн+);0
chekpoint;1;0;"продлен - 1; лиценз - 1";chekpoint+(продлен/лиценз);1;;chekpoint+);0
альтернативны;1;0;"165220_уведомлен - 1; открыт - 1; предложен - 1; поставщик - 1; private - 1";альтернативны+(165220_уведомлен/открыт/предложен/поставщик/private);1;;альтернативны+);0
private;1;0;"165220_уведомлен - 1; открыт - 1; предложен - 1; альтернативны - 1; поставщик - 1";private+(165220_уведомлен/открыт/предложен/альтернативны/поставщик);1;;private+);0
чамзинск;1;0;"поставк - 1; ip-телефон - 1; коммутатор - 1; район - 1";чамзинск+(поставк/ip-телефон/коммутатор/район);1;;чамзинск+);0
veeam;1;0;"поставк - 1; сертификат - 1; техническ - 1; поддержк - 1; соответстви - 1";veeam+(поставк/сертификат/техническ/поддержк/соответстви);1;;veeam+);0
рабочег;1;0;"поставк - 1; автоматизированн - 1; мест - 1; калуг - 1";рабочег+(поставк/автоматизированн/мест/калуг);1;;рабочег+);0
рынк;1;4;"ноутбук - 1; техническ - 1; требования - 1";рынк+(ноутбук/техническ/требования);1;"работ - 6; строительно-монтажн - 5; выполнен - 5; мониторинг - 4; устройств - 4";рынк+(работ/строительно-монтажн/выполнен/мониторинг/устройств);6
требования;1;2;"техническ - 2; рынк - 1; ноутбук - 1; внесени - 1; изменен - 1";требования+(техническ/рынк/ноутбук/внесени/изменен);2;"сертификац - 2; sitronics - 2; соответств - 2; №144 - 2; правил - 2";требования+(сертификац/sitronics/соответств/№144/правил);2
2022г;1;1;"волс - 1; новосибирск - 1; област - 1; 2024г - 1";2022г+(волс/новосибирск/област/2024г);1;"1000081.t - 1; торг - 1; выполнен - 1; текущег - 1; ремонт - 1";2022г+(1000081.t/торг/выполнен/текущег/ремонт);1
№165532;1;0;"оптическ - 2; ресурс - 2; новосибирск - 2; прием - 1; открыт - 1";№165532+(оптическ/ресурс/новосибирск/прием/открыт);1;;№165532+);0
станок;1;0;ленточнопильн - 1;станок+(ленточнопильн);1;;станок+);0
ленточнопильн;1;0;станок - 1;ленточнопильн+(станок);1;;ленточнопильн+);0
активаци;1;0;"поставк - 1; терминал - 1; телефони - 1; блок - 1; питани - 1";активаци+(поставк/терминал/телефони/блок/питани);1;;активаци+);0
com11102200086;1;0;"оригинальн - 1; расходн - 1; материал - 1; печатн - 1; оборудован - 1";com11102200086+(оригинальн/расходн/материал/печатн/оборудован);1;;com11102200086+);0
nanocad;1;2;"торг - 1; платформ - 1; продлен - 1";nanocad+(торг/платформ/продлен);1;"лиценз - 3; сетев - 2; открыт - 1; приобретен - 1; конкурентн - 1";nanocad+(лиценз/сетев/открыт/приобретен/конкурентн);1
интеграци;1;5;"создан - 1; файл - 1; тв-канал - 1";интеграци+(создан/файл/тв-канал);1;"предложен - 3; услуг - 3; поставк - 2; сист - 2; разработк - 2";интеграци+(предложен/услуг/поставк/сист/разработк);5
файл;1;1;"создан - 1; интеграци - 1; тв-канал - 1";файл+(создан/интеграци/тв-канал);1;"1000090.t - 1; коммерческ - 1; предложен - 1; услуг - 1; создан - 1";файл+(1000090.t/коммерческ/предложен/услуг/создан);1
тв-канал;1;0;"создан - 1; интеграци - 1; файл - 1";тв-канал+(создан/интеграци/файл);1;;тв-канал+);0
165220_уведомлен;1;0;"открыт - 1; предложен - 1; альтернативны - 1; поставщик - 1; private - 1";165220_уведомлен+(открыт/предложен/альтернативны/поставщик/private);1;;165220_уведомлен+);0
№165401,1;1;0;"оптическ - 2; ресурс - 2; предложен - 2; прием - 1; свердловск - 1";№165401,1+(оптическ/ресурс/предложен/прием/свердловск);1;;№165401,1+);0
буланаш;1;0;"оптическ - 2; ресурс - 2; предложен - 2; прием - 1; свердловск - 1";буланаш+(оптическ/ресурс/предложен/прием/свердловск);1;;буланаш+);0
поворотны;1;0;"поставк - 1; телевизор - 1; комплект - 1; кронштейн - 1; волжск - 1";поворотны+(поставк/телевизор/комплект/кронштейн/волжск);1;;поворотны+);0
этап;1;5;"2.закупк - 1; комплектующ - 1; сервер - 1; мтс-банк - 1";этап+(2.закупк/комплектующ/сервер/мтс-банк);1;"услуг - 6; строительств - 5; предложен - 4; открыт - 3; модульн - 2";этап+(услуг/строительств/предложен/открыт/модульн);5
2.закупк;1;0;"этап - 1; комплектующ - 1; сервер - 1; мтс-банк - 1";2.закупк+(этап/комплектующ/сервер/мтс-банк);1;;2.закупк+);0
постгарантийн;1;0;"поддержк - 1; оборудовани - 1; gigamon - 1";постгарантийн+(поддержк/оборудовани/gigamon);1;;постгарантийн+);0
gigamon;1;0;"постгарантийн - 1; поддержк - 1; оборудовани - 1";gigamon+(постгарантийн/поддержк/оборудовани);1;;gigamon+);0
оргтехник;1;2;"поставк - 1; компьютерн - 1; техник - 1; комплектующ - 1; мирн - 1";оргтехник+(поставк/компьютерн/техник/комплектующ/мирн);1;"информационн - 2; сервисн - 2; обслуживан - 2; ремонт - 2; вычислительн - 2";оргтехник+(информационн/сервисн/обслуживан/ремонт/вычислительн);1
динамик-микрофон;1;0;"поставк - 1; радиостанц - 1; носим - 1; взрывозащищённ - 1";динамик-микрофон+(поставк/радиостанц/носим/взрывозащищённ);1;;динамик-микрофон+);0
взрывозащищённ;1;0;"поставк - 1; радиостанц - 1; носим - 1; динамик-микрофон - 1";взрывозащищённ+(поставк/радиостанц/носим/динамик-микрофон);1;;взрывозащищённ+);0
кронштейн;1;0;"поставк - 1; телевизор - 1; комплект - 1; поворотны - 1; волжск - 1";кронштейн+(поставк/телевизор/комплект/поворотны/волжск);1;;кронштейн+);0
прохладн;1;0;"оптическ - 2; ресурс - 2; предложен - 2; прием - 1; свердловск - 1";прохладн+(оптическ/ресурс/предложен/прием/свердловск);1;;прохладн+);0
волжск;1;0;"поставк - 1; телевизор - 1; комплект - 1; поворотны - 1; кронштейн - 1";волжск+(поставк/телевизор/комплект/поворотны/кронштейн);1;;волжск+);0
анализатор;1;0;"расширенн - 1; комплект - 1; wi-fi - 1";анализатор+(расширенн/комплект/wi-fi);1;"метрологическ - 1; обслуживан - 1; газоанализатор - 1";анализатор+(метрологическ/обслуживан/газоанализатор);1
пз-20220087;1;0;"поставк - 1; демонтаж - 1; стар - 1; монтаж - 1; кондиционер - 1";пз-20220087+(поставк/демонтаж/стар/монтаж/кондиционер);1;;пз-20220087+);0
16гб;1;0;"apple - 2; извещен - 1; открыт - 1; предложен - 1; поставк - 1";16гб+(apple/извещен/открыт/предложен/поставк);1;;16гб+);0
core;1;0;"apple - 4; извещен - 3; предложен - 3; поставк - 3; ноутбук - 3";core+(apple/извещен/предложен/поставк/ноутбук);3;;core+);0
свердловск;1;3;"оптическ - 2; ресурс - 2; предложен - 2; прием - 1; област - 1";свердловск+(оптическ/ресурс/предложен/прием/област);1;"открыт - 3; предложен - 3; област - 3; прав - 2; защ - 2";свердловск+(открыт/предложен/област/прав/защ);3
березовск;1;0;"оптическ - 2; ресурс - 2; предложен - 2; прием - 1; свердловск - 1";березовск+(оптическ/ресурс/предложен/прием/свердловск);1;;березовск+);0
г.ростов-на-дон;1;0;"170191-2 - 1; поставк - 1; успд - 1; разветвител - 1; интерфейс - 1";г.ростов-на-дон+(170191-2/поставк/успд/разветвител/интерфейс);1;;г.ростов-на-дон+);0
услуг;0;148;;услуг+);0;"открыт - 63; предложен - 59; техническ - 46; оказан - 43; мтс-банк - 29";услуг+(открыт/предложен/техническ/оказан/мтс-банк);115
выполнен;0;113;;выполнен+);0;"работ - 110; предложен - 64; открыт - 54; сист - 40; торг - 34";выполнен+(работ/предложен/открыт/сист/торг);110
модернизаци;0;49;;модернизаци+);0;"предложен - 30; сист - 24; открыт - 22; адрес - 15; торг - 15";модернизаци+(предложен/сист/открыт/адрес/торг);43
ремонт;0;48;;ремонт+);0;"работ - 33; техническ - 31; предложен - 25; обслуживан - 24; открыт - 22";ремонт+(работ/техническ/предложен/обслуживан/открыт);40
обслуживан;0;43;"открыт - 1; оформлен - 1; банкомат - 1; устройств - 1; самообслуживани - 1";обслуживан+(открыт/оформлен/банкомат/устройств/самообслуживани);1;"техническ - 55; предложен - 41; открыт - 36; ремонт - 31; работ - 24";обслуживан+(техническ/предложен/открыт/ремонт/работ);54
оказан;0;43;;оказан+);0;"услуг - 57; предложен - 17; открыт - 17; техническ - 11; торг - 8";оказан+(услуг/предложен/открыт/техническ/торг);49
разработк;0;40;;разработк+);0;"сист - 19; работ - 18; документац - 18; выполнен - 12; управлен - 11";разработк+(сист/работ/документац/выполнен/управлен);37
расположенн;0;27;;расположенн+);0;"работ - 21; адрес - 20; сист - 17; выполнен - 16; предложен - 13";расположенн+(работ/адрес/сист/выполнен/предложен);24
рамочн;0;17;;рамочн+);0;"прав - 17; заключен - 17; предложен - 16; открыт - 16; договор - 16";рамочн+(прав/заключен/предложен/открыт/договор);17
обслуживани;0;17;"открыт - 1; оформлен - 1; банкомат - 1; устройств - 1; самообслуживани - 1";обслуживани+(открыт/оформлен/банкомат/устройств/самообслуживани);1;"техническ - 55; обслуживан - 43; предложен - 41; открыт - 36; ремонт - 31";обслуживани+(техническ/обслуживан/предложен/открыт/ремонт);57
аварийно-восстановительн;0;17;;аварийно-восстановительн+);0;"работ - 22; предложен - 17; открыт - 16; выполнен - 13; техническ - 13";аварийно-восстановительн+(работ/предложен/открыт/выполнен/техническ);18
предоставлени;0;15;"предоставлен - 3; прав - 2; использовани - 2; мобильн - 2; лицензи - 2";предоставлени+(предоставлен/прав/использовани/мобильн/лицензи);3;"услуг - 22; открыт - 15; прав - 12; предложен - 12; предоставлен - 12";предоставлени+(услуг/открыт/прав/предложен/предоставлен);26
втор;0;15;;втор+);0;"услуг - 10; сист - 10; открыт - 9; мтс-банк - 9; предложен - 6";втор+(услуг/сист/открыт/мтс-банк/предложен);16
средств;0;15;;средств+);0;"техническ - 12; защ - 11; предложен - 9; первичн - 8; сист - 8";средств+(техническ/защ/предложен/первичн/сист);13
пожаротушени;0;15;;пожаротушени+);0;"предложен - 14; автоматическ - 9; средств - 8; первичн - 8; сист - 8";пожаротушени+(предложен/автоматическ/средств/первичн/сист);12
противопожарн;0;14;;противопожарн+);0;"защ - 16; сист - 13; предложен - 13; открыт - 10; техническ - 7";противопожарн+(защ/сист/предложен/открыт/техническ);11
сопровожден;0;14;;сопровожден+);0;"техническ - 11; услуг - 9; работ - 6; оказан - 5; открыт - 5";сопровожден+(техническ/услуг/работ/оказан/открыт);14
автоматическ;0;13;;автоматическ+);0;"фили - 8; работ - 8; предложен - 8; сист - 8; пожаротушен - 7";автоматическ+(фили/работ/предложен/сист/пожаротушен);10
этаж;0;12;;этаж+);0;"предложен - 11; работ - 11; монтаж - 9; адрес - 9; выполнен - 7";этаж+(предложен/работ/монтаж/адрес/выполнен);12
охран;0;11;;охран+);0;"сист - 15; объект - 14; физическ - 9; красноярск - 8; адрес - 8";охран+(сист/объект/физическ/красноярск/адрес);19
помещени;0;10;;помещени+);0;"работ - 20; выполнен - 17; предложен - 15; адрес - 14; сист - 13";помещени+(работ/выполнен/предложен/адрес/сист);23
технологическ;0;10;;технологическ+);0;"ремонт - 9; предложен - 9; работ - 8; открыт - 7; выполнен - 6";технологическ+(ремонт/предложен/работ/открыт/выполнен);9
соуэ;0;9;;соуэ+);0;"предложен - 8; оборудован - 7; выполнен - 5; работ - 5; объект - 5";соуэ+(предложен/оборудован/выполнен/работ/объект);7
поволжь;0;9;;поволжь+);0;"открыт - 6; предложен - 6; торг - 5; прав - 4; заключен - 4";поволжь+(открыт/предложен/торг/прав/заключен);6
телевидени;0;9;;телевидени+);0;"сист - 10; сист - 6; охранн - 5; предложен - 4; услуг - 4";телевидени+(сист/сист/охранн/предложен/услуг);7
фиксированн;0;9;;фиксированн+);0;"услуг - 13; работ - 6; связ - 5; доступ - 5; лота - 4";фиксированн+(услуг/работ/связ/доступ/лота);8
аугпт;0;9;;аугпт+);0;"област - 7; предложен - 7; оборудован - 7; республик - 7; работ - 6";аугпт+(област/предложен/оборудован/республик/работ);6
сибир;0;9;"новосибирск - 6; поставк - 3; област - 2; ресурс - 2; оптическ - 2";сибир+(новосибирск/поставк/област/ресурс/оптическ);5;"предложен - 15; открыт - 14; новосибирск - 11; заключен - 10; выполнен - 10";сибир+(предложен/открыт/новосибирск/заключен/выполнен);17
физическ;0;9;;физическ+);0;"охран - 9; объект - 9; услуг - 4; контр - 4; мтс-банк - 4";физическ+(охран/объект/услуг/контр/мтс-банк);9
газов;0;9;;газов+);0;"оборудован - 10; автоматическ - 7; фили - 7; предложен - 7; электротехническ - 5";газов+(оборудован/автоматическ/фили/предложен/электротехническ);7
част;0;9;"оптическ - 3; предложен - 3; ресурс - 3; поставщик - 2; участк - 2";част+(оптическ/предложен/ресурс/поставщик/участк);4;"предложен - 7; открыт - 7; работ - 5; адрес - 4; электротехническ - 4";част+(предложен/открыт/работ/адрес/электротехническ);12
базе;0;9;;базе+);0;"внедрен - 5; сист - 5; работ - 4; разработк - 3; конструкторск - 3";базе+(внедрен/сист/работ/разработк/конструкторск);8
заказчик;0;9;;заказчик+);0;"работ - 8; выполнен - 6; строительств - 5; предложен - 4; документац - 3";заказчик+(работ/выполнен/строительств/предложен/документац);9
необходим;0;9;;необходим+);0;"оборудован - 10; техническ - 8; поддержк - 8; программн - 8; работ - 6";необходим+(оборудован/техническ/поддержк/программн/работ);8
монтажн;0;8;"проведен - 1; строительно-монтажн - 1; работ - 1; вологд - 1";монтажн+(проведен/строительно-монтажн/работ/вологд);1;"работ - 30; выполнен - 16; строительно-монтажн - 16; услуг - 13; адрес - 10";монтажн+(работ/выполнен/строительно-монтажн/услуг/адрес);27
округ;0;8;;округ+);0;"сист - 9; открыт - 4; телевиден - 4; wifi - 4; строительств - 4";округ+(сист/открыт/телевиден/wifi/строительств);4
пожарн;0;8;;пожарн+);0;"сист - 20; сист - 20; предложен - 19; защ - 16; работ - 14";пожарн+(сист/сист/предложен/защ/работ);24
вентиляци;0;8;;вентиляци+);0;"адрес - 7; предложен - 6; открыт - 5; модернизац - 5; документац - 4";вентиляци+(адрес/предложен/открыт/модернизац/документац);7
помещен;0;8;;помещен+);0;"работ - 20; выполнен - 17; предложен - 15; адрес - 14; сист - 13";помещен+(работ/выполнен/предложен/адрес/сист);23
первичн;0;8;;первичн+);0;"предложен - 8; пожаротушен - 8; средств - 8; техническ - 8; защ - 7";первичн+(предложен/пожаротушен/средств/техническ/защ);6
